vendor_name,vendor_code,COUNT,MEAN_of_TAT,STDEV_of_TAT
HOTTINGER BRUEL AND KJAER INC,US0957,3,164.0,212.18152605728898
ALAS AEROSPCE,US0191,2,78.5,9.192388155425117
AMETEK TEST & CALIBRATION,92456,3,131.0,5.196152422706632
"WAYGATE TECHNOLOGIES USA, LP",803Z6,2,79.0,8.48528137423857
MORETTI SERVICIOS SRL,AR0459,1,38.0,NaN
FLUID COMPONENTS INC,64818,2,135.0,12.727922061357855
BCD ELECTRONICS LTD,L1002,7,31.714285714285715,11.220729116450583
,CLOSED,1,0.0,NaN
"AVTRON AEROSPACE, INC",01014,17,42.05882352941177,10.562141048547485
"HABCO, INC.",51826,6,164.0,177.7841387750887
TOOLS GKW FABRICACAO DE FERRAMENTAS,BR0020,1,13.0,NaN
"DAES DISTRIBUTION, LLC",7JZ50,1,189.0,NaN
AVC LABORATORY,7VKY4,1562,53.7336747759283,98.06397266375431
"CENTURION NDT, INC.",0U8D5,3,22.333333333333332,10.692676621563626
MCMASTER-CARR SUPPLY CO.,39428,2,17.0,0.0
"SATAIR USA, INC.",0R3X9,8,31.625,33.13150205727818
GRAINGER INTERNATIONAL,US0096,7,27.142857142857142,24.189726272590544
INTERNATIONAL INDUSTRIAL SUPPLY INC.,US0976,3,144.0,34.64101615137755
FLUKE CORP,64841,5,47.6,23.818060374430157
"GE INSPECTION TECHNOLOGIES, LP",US0094,33,113.27272727272727,89.20456572090099
LUFTHANSA TECHNIK AKTIENGESELLSCHAFT,C1008,2,57.0,39.59797974644666
BLACKBIRD DESIGN LLC,US0158,4,33.0,0.0
"SIGMA AEROSPACE METALS, LLC.",1SGZ2,1,50.0,NaN
BURSTER PRAEZISIONSMESSTECHNIK GMBH,C7052,1,150.0,NaN
UNIVERSAL MARKETING GROUP,US0082,14,58.57142857142857,3.6313651960128146
OLYMPUS NDT INC,29192,12,29.833333333333332,21.74577632274341
EL BALANCERO S.R.L,AR0007,3,66.33333333333333,54.53744890745563
"IET LABS, INC.",6CS52,50,60.12,49.66813950242803
EMBRAER,001JK,1,232.0,NaN
ROHMANN LP,4JLR9,1,113.0,NaN
