Fe.contabilizaci줻;Centro de coste;N즡ero de cuenta;Denominaci줻;En moneda local centro de beneficio;Clave moneda ML CeBe;En moneda de la sociedad;Clave moneda moneda sociedad;Acreedor;Nombre del usuario;Fecha de documento;Texto;Documento compras;N� doc.refer.
7/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;54,50;USD;5900,00;ARS;201492;BJADMIN_LO;W;1357;R1857620;5005661936
7/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;48,55;USD;5256,00;ARS;201492;BJADMIN_LO;W;VOLTI-50V;R0997221;5005661937
7/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;221,39;USD;23965,00;ARS;201492;BJADMIN_LO;W;1862C;R1437620;5005661939
7/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;146,78;USD;15889,00;ARS;201492;BJADMIN_LO;W;45;R2085720;5005661941
7/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;153,41;USD;16607,00;ARS;201492;BJADMIN_LO;W;96F1907;R1302721;5005661942
7/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;165,36;USD;17900,00;ARS;201492;BJADMIN_LO;W;94460-28;R0221121;5005661943
7/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;90,53;USD;9800,00;ARS;201492;BJADMIN_LO;W;323;R0046121;5005661944
7/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;561,24;USD;60754,00;ARS;201492;BJADMIN_LO;W;8846A;R1568821;5005661947
7/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;75,00;USD;8118,75;ARS;405794;BJADMIN_LO;W;M22520/31-01;R2010721;5005661951
7/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;75,00;USD;8118,75;ARS;405794;BJADMIN_LO;W;M22520/4-01;R1989221;5005661962
7/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;87,33;USD;9453,00;ARS;201495;BJADMIN_LO;W;AGUA CALIENTE 18;R2163321;5005662078
7/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;87,33;USD;9453,00;ARS;201495;BJADMIN_LO;W;CERA GRANDE 92;R2163021;5005662079
7/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;75,00;USD;8118,75;ARS;405794;BJADMIN_LO;W;M22520/1-01;R2010821;5005662102
7/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;75,00;USD;8118,75;ARS;405794;BJADMIN_LO;W;M309;R2012421;5005662103
7/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;96,30;USD;10425,00;ARS;204208;BJADMIN_LO;W;G34002-1;R1860621;5005662104
7/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;96,30;USD;10425,00;ARS;204208;BJADMIN_LO;W;G34002-1;R1848721;5005662121
7/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;36,48;USD;3949,00;ARS;204208;BJADMIN_LO;W;30EX;R1049921;5005662122
1/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;89,74;USD;9670,00;ARS;201492;BJADMIN_LO;W;HS-3;R1809221;5005662277
10/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;989,40;USD;107350,00;ARS;201492;BJADMIN_LO;W;3458A;R0681621;5005666211
10/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;114,31;USD;12403,00;ARS;201492;BJADMIN_LO;W;ROHS;R1655121;5005666212
10/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;156,96;USD;17030,00;ARS;201492;BJADMIN_LO;W;PSICOMETRO;R1533221;5005666213
3/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;44,04;USD;4745,00;ARS;204208;BJADMIN_LO;W;1090;R0090621;5005667262
